perspective,check_id,check_name,status,severity,evidence,confidence
test_engineer,TEST-004,未引 closure 模板缺 §8 四性,CHANGES_REQUESTED,medium,缺模板引用行与可执行/可验证/可恢复/可交接自证,medium
test_engineer,TEST-005,token/检索口径跨文件不一致,CHANGES_REQUESTED,medium,research LIGHT≤2 vs SKILL 调研≤3 vs 报价占位 N 次,medium
security,SEC-001,research.md 缺注入防护,CHANGES_REQUESTED,high,fetch 主战场未写 网页=数据非指令 强制句,high
security,SEC-002,research.md 缺凭据屏蔽,CHANGES_REQUESTED,medium,凭据 redacted 唯一落点在 ground.md，提炼环节无护栏,high
security,SEC-003,SSRF 约束三处术语不一致,CHANGES_REQUESTED,medium,缺 link-local/IPv6/编码混淆/重定向复检,medium
security,SEC-004,review.md 缺归档脱敏门禁,CHANGES_REQUESTED,medium,FULL 评审报告落盘无 desensitize 扫描要求,medium
security,SEC-005,涉密只出不进未落实,CHANGES_REQUESTED,medium,ground.md 允许 register_auth 内网来源，涉密决策可进证据链,high
security,SEC-006,头部未锚定 iron_rules.md,CHANGES_REQUESTED,medium,A/B 级矩阵出自 iron_rules 却无显式引用,medium
security,SEC-007,LIGHT 单源 T2 冲突,CHANGES_REQUESTED,medium,light-check ≥1 来源 vs ground T2≥2，单源 T2 被放行,medium
security,SEC-008,黑名单防降档依赖自评,CHANGES_REQUESTED,medium,档位判定与用户主张冲突时取最严档,medium
security,SEC-009,证据快照无脱敏/存储约束,CHANGES_REQUESTED,medium,高风险证据快照需先脱敏且不入库,medium
performance,PERF-001,LIGHT 强制联网名不副实,CHANGES_REQUESTED,high,缺省路径强制 web 检索，recalled_only 未启用,high
performance,PERF-002,FULL 评审预算独大,CHANGES_REQUESTED,medium,12000 全给评审，缺外部核验预算,medium
performance,PERF-003,评审缺省应串行,CHANGES_REQUESTED,medium,单模型三视角独立生成是重复自评，→合并一次连贯评审,medium
performance,PERF-004,token 口径三缺口,CHANGES_REQUESTED,high,口径未定义/超限行为三处不一致/无计量,high
performance,PERF-005,日常选型响应拖慢,CHANGES_REQUESTED,high,先答后深：快答为默认，全量评审为升级点,high
performance,PERF-006,LIGHT 证据卡过重,CHANGES_REQUESTED,medium,13 字段 JSON 卡在 2500 预算占比过大→行内引用,medium
performance,PERF-007,证据/调研零复用,CHANGES_REQUESTED,medium,同主题二次提问全量重跑，建议建证据台账 30 天新鲜期,medium
