编号,维度,严重度,类别,发现项,影响范围,现状证据,修复建议,状态,回归状态
F-16,P1 架构,P4,shared/ 副本一致性,references/ 与 shared/references/ 4 个同名文件内容不同(COPYRIGHT/api_contracts/common_standards/directory_structure)且 traceability_standard.md 无 shared 副本,单源共享合规——违反铁律 #1 禁止手工复制,diff:COPYRIGHT.md/api_contracts.md/common_standards.md/directory_structure.md 4 文件不同;references/ 15 项 vs shared/references/ 14 项(traceability_standard.md 缺失),运行打包脚本重新内嵌 shared 副本使逐文件 diff 归零,待修复,回归失败(新出现漂移)
F-17,P2 内容,P4,闭环执行系统覆盖,10 包(9 角色包+编排器)+8 子技能均含「闭环执行系统」章节,维护模式硬门禁合规,check_skill_closure.py:18/18 通过,通过,通过,维持通过
F-18,P2 内容,P4,.xlsx 禁入检查,项目全域零 .xlsx 残留(排除 .venv/.git/backup),格式规范合规,find 返回空,通过,通过,维持通过
F-19,P3 行业实践,P4,参考标准覆盖,引用 17 项行业标准(PMBOK 7th/IEEE 29119/42010/830/ISO 25010/21500/21503/21504/ISTQB/ITIL v4/OWASP/DORA/BABOK v3/P3M3/CMMI/OPM3/MSP 5th/PMI SPM 5th),行业对齐度,"全量 grep 统计,覆盖充分",通过,通过,维持通过
F-20,P1 架构,P4,.gitattributes LF 强制,已配置 * text=auto eol=lf + *.sh/*.py 显式 LF,双平台兼容合规,文件内容正确,通过,通过,维持通过
D-01,P2 内容,P2,description 长度(新),"role-architecture/SKILL.md description 146 字符(门禁脚本测量),低于 150 下限 4 字符","门禁 check_skill_descriptions.py 报错,四门禁无法全绿",check_skill_descriptions.py:role-architecture description 长度 146 不在 150~250,扩充 role-architecture description 至 ≥150 字符(按门禁测量口径),待修复,新发现
D-02,P1 架构,P2,追溯矩阵缺失(新),"台账/需求-架构-代码追溯矩阵.csv 不存在,铁律 #10 要求的单一事实来源缺失","阶段流转门禁 check_traceability.py 无法执行,追溯合规性",check_traceability.py 报错:未找到追溯矩阵台账/需求-架构-代码追溯矩阵.csv,"运行 check_traceability.py --init 初始化矩阵,补录存量 REQ/AE/MOD/TC 条目",待修复,新发现
D-03,P1 架构,P2,shared 副本漂移(新),"references/ 与 shared/references/ 4 个同名文件内容不同,且 traceability_standard.md 仅存在于 references/(缺 shared 副本)",违反铁律 #1 源码单源/禁止手工复制;打包产物与源不一致,diff:COPYRIGHT.md/api_contracts.md/common_standards.md/directory_structure.md 不同;shared/references 14 项 vs references 15 项,以 references/ 为基准重跑打包脚本生成 shared 副本;或明确共享层以 shared/ 为准并同步 references,待修复,新发现
D-04,P3 运维,P2,仓库卫生 lint(新),"lint_repo 23 项 error:根目录散落 .DS_Store/.pytest_cache/.venv/scan_report×5/desensitize_report×2/评审报告×3/projects_registry.csv,命名非 kebab-case",仓库整洁度;CI 门禁无法全绿,lint_repo.py:23 项 error(散落文件 10+命名规范 10+),删除垃圾文件(.DS_Store/.pytest_cache/.venv);评审报告归档 docs/reviews/;registry 归位或加白名单,待修复,新发现
D-05,P3 运维,P3,测试覆盖不足(新),"tests/ 436 行 + tools/tests 1226 行 vs tools 源码 10,451 行,覆盖率约 4%~7%","关键脚本(solidify/deploy/package/quality_gate)无单测保护,回归风险","find tests tools/tests 11 个 py(436+1226 行);tools 总行数 10,451","为关键路径脚本补单测(目标 ≥40% 行覆盖),接入 CI 失败即阻断",待改进,新发现
D-06,P3 运维,P4,dist 产物冗余(新),dist/ 留存 20+ 个历史版本 zip(最大 DevProjectTeamSkill-trae-v21.5.0.zip 412KB),多版本产物占用空间易混淆,du 显示 dist 下 20+ zip(DevProjectTeamSkill-trae-v21.5.0 412K/role-*_v21.x 11 个/dev-project-team-skill_v21.6~v21.8.1 10 个),"建立 dist 清理策略(保留 current+last,历史入 .backup/)",待改进,新发现
D-07,P4 内容,P4,版本口径差异(新),交接文档断点区最近固化备注 v21.7.5(2026-08-22 19:51)与 SKILL_INDEX 页脚 v21.8.1、编排器 SKILL.md v21.8.1 存在口径差异,交接文档未刷新到 v21.8.x,交接文档.md:最近固化时间 2026-08-22 19:51:00;SKILL_INDEX 页脚 v21.8.1(2026-08-22 更新),本轮固化时同步刷新交接文档断点区至 v21.8.2,待修复,新发现
D-08,P4 安全,P4,A 级占位符告警(新),multi_project_isolation.md 存在 10 处 A 级占位符 PASSWORD 占位符(<dev_pass>/<test_pass>)(references 5+shared/references 5),"占位符按规则仅告警不阻断发布,但建议演示值降级",desensitize --scan:references/multi_project_isolation.md 5 处+shared/references/multi_project_isolation.md 5 处,将示例密码改为 B 级演示值或标注为占位符,待改进,新发现
