操作ID,会话ID,主机标识,客户端工具,模型名称,操作时间,操作类型,对象,风险等级,授权人,授权ID,是否备份,备份路径,留痕时间,结果,确认词,参数哈希
OP-AUDIT-011,未知,未知,未知,未知,未知,数据删除,本地Ollama模型deepseek-r1:7b(4.7GB),中,用户明确授权,未知,否(可重新pull恢复),-,2026-08-12 14:20,成功(deleted deepseek-r1:7b),—,—
OP-AUDIT-012,未知,未知,未知,未知,未知,配置修改,全局opencode.jsonc ollama provider注册qwen2.5-coder:7b(tool_call),中,用户明确授权,未知,是(.backup/opencode_global_cfg_20260812_142547_before_coder_reg.jsonc),-,2026-08-12 14:26,成功,—,—
OP-AUDIT-013,未知,未知,未知,未知,2026-08-11T20:09:00+08:00,修改项目外配置文件(macOS),~/.config/opencode/opencode.jsonc（新增 ollama 本地双模型 + 智谱 GLM-4.7-Flash provider）,中,用户明确授权,未知,是,DevProjectTeamSkill/.backup/opencode_cfg_20260811_200919/opencode.jsonc,2026-08-11 20:09:00,成功,—,—
OP-AUDIT-014,未知,未知,未知,未知,2026-08-11T22:08:05+08:00,修改项目外配置文件(macOS),~/.config/opencode/opencode.jsonc（全局启用 DevProjectTeamSkill：新增 skills.paths 段指向 .trae/skills 源码目录）,中,用户明确授权（全局启用指令）,未知,是,DevProjectTeamSkill/.backup/opencode.jsonc.bak.20260811_220652,2026-08-11 22:08:05,成功,—,—
OP-AUDIT-015,未知,未知,未知,未知,2026-08-11T22:10:00+08:00,修改项目外配置文件+目录(macOS),~/.trae-cn/skills/（TRAE 全局启用：清理扁平文件+部署 9 包正确目录结构）+ ~/.trae-cn/skill-config.json（注册 7 角色包）,中,用户明确授权（TRAE 全局启用指令）,未知,是,DevProjectTeamSkill/.backup/skill-config.json.bak.20260811_221000,2026-08-11 22:10:00,成功,—,—
OP-AUDIT-016,未知,未知,未知,未知,2026-08-12T22:31:00+08:00,发布技能到TRAE(macOS),~/.trae-cn/skills/（同步最新源码 v21.4.0：8 角色包+编排器+shared+references+SKILL_INDEX，清理 8 个旧 PascalCase 重复包与 3 个旧文档）+ ~/.trae-cn/skill-config.json（重注册 8 个 kebab-case 技能目录）+ 生成 dist/DevProjectTeamSkill-trae-v21.4.0.zip,中,用户明确授权（发布到 TRAE 指令）,未知,是,DevProjectTeamSkill/.backup/trae_skills_20260812_223121/,2026-08-12 22:31:00,成功,—,—
OP-AUDIT-017,未知,未知,未知,未知,未知,系统文件修改+推送,hosts(%SYSTEMDRIVE%\...\System32\drivers\etc\hosts)追加140.82.114.4 github.com以绕过github.com DNS封锁,高,用户明确授权(github push),未知,是(.backup/hosts_20260812_160116.bak),-,2026-08-12 16:03,成功(git push -u origin main 完成 3221ddb..e54a5c4,—,—
OP-AUDIT-018,未知,未知,未知,未知,未知,配置修改,全局opencode.jsonc为本地与远程模型补齐limit上下文窗口(qwen2.5/qwen3/GLM-4.7-Flash),中,用户明确授权,未知,是(.backup/opencode_global_cfg_20260812_172634_before_limit_add.jsonc),-,2026-08-12 17:28,成功,—,—
OP-AUDIT-019,未知,未知,未知,未知,未知,修改项目外文件(opencode全局配置),%SYSTEMDRIVE%\...\<user>\.config\opencode\opencode.jsonc 删除 qwen2.5:7b/qwen2.5-coder:7b/qwen3:4b 仅留 qwen3:8b,中,用户明确授权(只留一个本地模型),未知,是,<repo>/.backup\opencode.jsonc_20260813_100500.bak,2026-08-13 10:05,成功,—,—
OP-AUDIT-020,未知,未知,未知,未知,未知,数据删除,本地Ollama模型 qwen2.5:7b(4.7GB)/qwen2.5-coder:7b(4.7GB)/qwen3:4b(2.5GB) 合计约11.9GB,中,用户明确授权(只留一个本地模型),未知,否(可重新pull恢复),-,2026-08-13 10:06,成功(deleted 三个模型,—,—
OP-AUDIT-021,未知,未知,未知,未知,2026-08-13T21:46:00+08:00,全局启用技能(macOS),~/.trae-cn/skills/ 重新同步最新源码 v21.5.0（8 角色包+编排器+shared+references+SKILL_INDEX+新增 multi_project_isolation.md）+ ~/.trae-cn/skill-config.json（维持注册 8 个 kebab-case 技能目录）+ 重新生成 dist/DevProjectTeamSkill-trae-v21.5.0.zip,中,用户明确授权（全局启用最新版本指令）,未知,是,DevProjectTeamSkill/.backup/trae_skills_20260813_214612/,2026-08-13 21:46:00,成功,—,—
OP-AUDIT-022,未知,未知,未知,未知,2026-08-17T14:57:29+08:00,系统文件改写+推送(github),%SYSTEMDRIVE%\...\System32\drivers\etc\hosts(github.com→xxx.xxx.xxx.xxx 拟覆盖),高,用户明确授权(方案2:临时hosts覆盖推送),未知,是,<repo>/.backup\hosts_20260817_145537.bak,2026-08-17 14:57:29,因权限不足未改写hosts；改用既有hosts覆盖(xxx.xxx.xxx.xxx github.com)+flushdns，git push 成功(fa5c147..8dd06c0)；hosts维持原状无需还原,—,—
OP-AUDIT-023,未知,未知,未知,未知,2026-08-18T15:18:00+08:00,移动并改名项目外目录,<repo>下两个中文目录(项目群管理csv)迁入DevProjectTeamSkill/program-management且文件名改英文+UTF-8,中,用户明确授权(改名+迁移指令),未知,是,DevProjectTeamSkill/.backup/trae_external_20260818_151608/,2026-08-18 15:18:00,成功(4个csv迁入program-management;乱码副本丢弃;源目录已删除),—,—
OP-AUDIT-024,未知,未知,未知,未知,未知,删除项目外文件,<repo>\DevProjectTeamSkill_push.bundle(过时git bundle快照,2026-08-13,已落后origin/main),未知,低,用户明确授权(清除多余文件),是,DevProjectTeamSkill/.backup/bundle_push_20260818_153110.bundle,—,—
OP-AUDIT-025,未知,未知,未知,未知,未知,修改项目外文件,~/.config/opencode/opencode.jsonc 配置 MCP 全局生效,中,用户明确授权,未知,是,.backup/opencode.jsonc.bak.*,2026-08-20,成功,—,—
OP-AUDIT-026,未知,未知,未知,未知,2026-08-20T12:01:00+08:00,修改项目外文件(opencode全局MCP配置),%SYSTEMDRIVE%\...\<user>\.config\opencode\opencode.jsonc 新增/更新 dev-project-team-skill MCP 服务器配置,中,用户明确授权(加入全局MCP指令),未知,是,<repo>/.backup\opencode_global_mcp_20260820_115833\opencode.jsonc,2026-08-20 12:01:00,成功(10个工具+资源+Prompt已注册;Python 3.10.11 + mcp 2.0.0),—,—
OP-AUDIT-027,未知,未知,未知,未知,2026-08-20T12:05:00+08:00,新建项目外文件(TRAE全局MCP配置),%SYSTEMDRIVE%\...\<user>\.trae-cn\mcp.json 新建 dev-project-team-skill 全局 MCP 服务器配置(标准 MCP 格式),中,用户明确授权(MCP在TRAE中全局生效指令),未知,否(新建文件无原始文件),-,2026-08-20 12:05:00,成功(标准mcpServers格式;Python 3.10.11绝对路径;指向 <repo>/tools/mcp_server.py),—,—
OP-AUDIT-028,未知,未知,未知,未知,2026-08-20T14:09:00+08:00,修改项目外文件(TRAE用户MCP配置),%SYSTEMDRIVE%\...\<user>\AppData\Roaming\TRAE SOLO CN\User\mcp.json 新增 dev-project-team-skill MCP 服务器(TRAE 官方全局 MCP 配置位置),中,用户明确授权(MCP在TRAE中全局生效指令),未知,是,<repo>/.backup\trae_user_mcp_20260820_140922\mcp.json.bak,2026-08-20 14:09:00,成功(标准mcpServers格式;command=TRAE内置Python 3.10.11;args=mcp_server.py绝对路径;env含超时配置),—,—
OP-AUDIT-029,未知,未知,未知,未知,2026-08-20T22:13:00+08:00,修改项目外文件(opencode全局provider配置),~/.config/opencode/opencode.jsonc 全provider白名单化(屏蔽不可用模型)+禁用deepseek,中,用户明确授权(用户指令-屏蔽不可用模型),未知,是,.backup/opencode.jsonc.bak.20260820_221223,2026-08-20 22:13:00,成功(模型列表由数百个缩减至14个;deepseek已禁用;JSON合法),—,—
OP-AUDIT-030,未知,未知,未知,未知,2026-08-20T22:20:00+08:00,创建项目外目录(生产技能库),~/dev-project-team-skill 仅部署最新版本v21.8.0技能(全10角色包+references+shared+SKILL_INDEX)供其他项目复用,低,用户明确授权(用户指令-创建生产目录),AUTH-005,否(新建目录无原始文件),-,2026-08-20 22:20:00,成功(与源码SKILL_INDEX哈希46302c9a一致:AUTH-005登记)OP-AUDIT-031,—,—
OP-AUDIT-032,未知,未知,未知,未知,2026-08-21T06:30:00+08:00,修复生产发布集缺陷并发布v21.8.1,发布/部署/固化三套复制集纳入tools/+docs/(github_push.py等与docs/github_ip_records.csv);脱敏门禁扫描范围扩至全发布集且豁免规则示例/占位符;修复macOS mv覆盖symlink失效改用ln -sfn;current切换v21.8.1;全局库与版本目录v21.8.1均含tools/docs,中,用户指令(检查并修复+形成机制防止复发),未知,否(tools/docs为新增目录),-,2026-08-21 06:30:00,成功(v21.8.1发布至全局库+留档20260821;current=v21.8.1;v21.8.0残档保留;门禁全过),—,—
OP-AUDIT-033,未知,未知,未知,未知,未知,2026-08-22 04:33:30,三套环境部署(技能库本体到三卷),Dev=BR256G源不动/Test=KINGSTON解压完整副本/Prod=publish_production发布全局库,已备份.backup/opencode_global_skills_before_3env_*.tar.gz,未知,用户指令(2026-08-22),完成,三环境部署留痕与审计,,—,—
OP-20260823210953,未知,未知,未知,未知,2026-08-23T21:10:42+08:00,生产发布(外部目录覆盖),/Users/<user>/.config/opencode/skills,高,<user>,未知,是,<repo>/.backup/opencode_skills_20260823_210936,2026-08-23 21:10:42,"发布完成: v21.8.2 已发布全局库, current=v21.8.2(SHA256 b37ca052bbbfad30)",—,—
OP-AUDIT-034,未知,未知,未知,未知,2026-08-25T16:26:00+08:00,项目外目录写/删(技能全局安装),%SYSTEMDRIVE%\...\<user>\.workbuddy\skills\DevProjectTeamSkill(移除桩)+dev-project-team-skill(新增),中,用户明确授权(同步仓库完整版全局生效),未知,是,<repo>/.backup\DevProjectTeamSkill_global_20260825_162606,2026-08-25 16:26:00,成功,—,—
OP-AUDIT-035,未知,未知,未知,未知,2026-08-25T16:31:00+08:00,删除项目内备份(简化桩版),<repo>/.backup\DevProjectTeamSkill_global_20260825_162606,低,用户明确授权(不保留简化版本彻底删除),未知,否,-,2026-08-25 16:31:00,成功,—,—
OP-AUDIT-036,未知,未知,未知,未知,2026-08-25T17:22:43+08:00,项目外目录写(全局技能重同步),%SYSTEMDRIVE%\...\<user>\.workbuddy\skills\dev-project-team-skill(重同步编排器包;本轮范围跟踪改进在role-governance/references/tools未随包部署),低,用户明确授权(AUTH-003 全局技能目录),AUTH-003,是,<repo>/.backup\dev-project-team-skill_global_resync_20260825_172243,2026-08-25 17:22:43,成功(内容同源于编排器包无变化;范围跟踪改进待部署角色包/工具),—,—
OP-AUDIT-037,未知,未知,未知,未知,2026-08-25T17:34:00+08:00,项目外目录写(全局技能同步-范围跟踪改进),C:/Users/<user>/.workbuddy/skills/ (references/traceability_standard.md v1.1.0 + role-governance/domain/scope-change.md v21.1.0 + tools/scope_tracker.py),低,用户明确授权(AUTH-003 全局技能目录),AUTH-003,是,<repo>/.backup/scope_sync_global_20260825_173410,2026-08-25 17:34:00,成功(范围跟踪改进已同步全局;WorkBuddy 重启/新会话生效),—,—
OP-AUDIT-038,未知,未知,未知,未知,2026-08-25T18:39:20+08:00,项目外目录写(全局技能同步-审计整改),C:/Users/<user>/.workbuddy/skills/ (scope_tracker v1.1.1 + check_skill_links + traceability_standard v1.1.1 + api_contracts + scope-change v21.1.1 + role-governance SKILL.md),低,用户明确授权(AUTH-003 全局技能目录),AUTH-003,是,<repo>/.backup/scope_fix_sync_global_20260825_183920,2026-08-25 18:39:20,成功(审计整改已同步全局;重启/新会话生效),—,—
OP-AUDIT-039,未知,未知,未知,未知,2026-08-25T18:59:15+08:00,项目外目录写(全局技能同步-约束制度化),C:/Users/<user>/.workbuddy/skills/ (role-project-init project-init v21.2.1 write_project_iron_rules + references/shared iron_rules v21.8.3 §8语言铁律§9产物落盘),低,用户明确授权(AUTH-003 全局技能目录),AUTH-003,是,<repo>/.backup/scope_fix_sync_global_20260825_185915,2026-08-25 18:59:15,成功(语言/产物落盘铁律制度化已同步全局;重启/新会话生效),—,—
OP-AUDIT-040,未知,未知,未知,未知,2026-08-26T19:32:50+08:00,生产发布全局库(publish_production v21.8.2),%USERPROFILE%\.config\opencode\skills,中,用户明确授权(对话选择发布生产全局库),未知,是,.backup\skills_global_publish_20260826_193214\skills,2026-08-26 19:32:50,成功,—,—
OP-AUDIT-041,未知,未知,未知,未知,2026-08-26T19:45:19+08:00,修改opencode全局配置(MCP路径/解释器修正),%USERPROFILE%\.config\opencode\opencode.jsonc,中,用户明确授权(对话选择只改MCP),未知,是,.backup\opencode_jsonc_publish_20260826_193922.jsonc,2026-08-26 19:45:19,成功(路径D:/trae->D:/MyProjects;py-3.11->workbuddy python;mcp包待联网安装),—,—
OP-AUDIT-042,未知,未知,未知,未知,2026-08-26T20:03:14+08:00,修改opencode全局配置(增default模型->zhipu/glm-4.7-flash),%USERPROFILE%\.config\opencode\opencode.jsonc,中,用户明确授权(对话指令改默认模型为智谱),未知,是,.backup\opencode_jsonc_default_20260826_200246.jsonc,2026-08-26 20:03:14,成功,—,—
OP-AUDIT-043,未知,未知,未知,未知,2026-08-26T20:09:17+08:00,修正opencode全局配置(无效default块->正确顶层model字段 zhipu/glm-4.7-flash),%USERPROFILE%\.config\opencode\opencode.jsonc,中,用户明确授权(对话指令改默认模型为智谱),未知,是,.backup\opencode_jsonc_model_20260826_200847.jsonc,2026-08-26 20:09:17,成功(原default字段opencode schema不支持被忽略,—,—
OP-AUDIT-044,未知,未知,未知,未知,未知,禁用opencode全局MCP服务器(dev-project-team-skill,enabled->false),%USERPROFILE%\.config\opencode\opencode.jsonc,中,未知,用户明确授权(对话排查无响应根因),是,.backup\opencode_jsonc_mcpdisable_20260826_201540.jsonc,2026-08-26 20:16:02,—,—
OP-AUDIT-045,未知,未知,未知,未知,未知,opencode两项目无响应根因确诊与修复(项目迁移D:\trae→D:\MyProjects致DB历史会话cwd残留旧路径,realPath失败),%USERPROFILE%\.local\share\opencode\opencode.db,中,未知,用户明确授权(方案A改写DB),是,.backup\opencode_data_backup_20260826_202726(544MB全量),2026-08-26 20:38:04,—,—
OP-AUDIT-046,未知,未知,未知,未知,2026-08-26T20:48:23+08:00,创建D盘junction软链D:\trae→D:\MyProjects(修复opencode窗口级/会话级旧路径realPath失败致新对话无响应),D:\trae,中,用户明确授权(question确认),未知,是,D:\trae创建前不存在(无覆盖);删除软链即可回滚,2026-08-26 20:48:23,成功(三项目路径验证OK:DevProjectTeamSkill/Project-management/lark-training-ppt-generator全部解析),—,—
OP-AUDIT-047,未知,未知,未知,未知,2026-08-26T21:05:00+08:00,系统软件安装(winget用户级),C:~/AppData/Local/Programs/Python/Python311,中,用户明确授权(question确认安装Python3.11),未知,否(全新安装无覆盖既有文件),不适用(全新安装),2026-08-26 21:05:00,成功(Python 3.11.9;维护模式门禁工具链依赖),—,—
OP-AUDIT-047,未知,未知,未知,未知,2026-08-26T21:03:50+08:00,交付opencode路径修复持久化工具tools/opencode_path_fix.py+项目迁移SOP写入交接文档(scan死根检测/fix三形态映射/锁预检/自动备份/WAL复验),仓库内新增文件,低,用户要求彻底解决并授权,未知,是,不适用(未改库外文件;深清由用户关opencode后自行执行且脚本自动备份),2026-08-26 21:03:50,就绪(扫描实测发现lark改名残留1010条引用已纳入深清映射),—,—
AUD-20260827-01,未知,gogojajadeMac-mini,未知,未知,2026-08-27T20:57:00+08:00,修改仓库外配置文件(授权登记),/Users/gogo/Library/Application Support/Trae CN/User/settings.json 增加 mcpServers.dev-project-team-skill,低,<user>(本机),未知,是,.backup/Trae_CN_User_settings.json.20260827_205753,2026-08-27 20:57:00,已备份并写入MCP登记(命令指向项目.venv/bin/python+skills_mcp_server.py)，使Trae可调用技能库工具,—,—
AUD-20260827-03,未知,gogojajadeMac-mini,未知,未知,2026-08-27T21:17:09+08:00,修改仓库外配置文件(授权登记),/Users/gogo/Library/Application Support/QoderCN/User/settings.json 增加 mcpServers.dev-project-team-skill,低,<user>(本机),未知,是,/Volumes/BR256G/DevProjectTeamSkill/.backup/QoderCN_User_settings.json.20260827_211709,20260827211709,已备份并写入MCP登记，使该IDE可调用技能库工具,—,—
AUD-20260827-04,未知,gogojajadeMac-mini,未知,未知,2026-08-27T21:17:09+08:00,修改仓库外配置文件(授权登记),/Users/gogo/Library/Application Support/Comate/User/settings.json 增加 mcpServers.dev-project-team-skill,低,<user>(本机),未知,是,/Volumes/BR256G/DevProjectTeamSkill/.backup/Comate_User_settings.json.20260827_211709,20260827211709,已备份并写入MCP登记，使该IDE可调用技能库工具,—,—
AUD-20260827-05,未知,gogojajadeMac-mini,未知,未知,2026-08-27T21:17:09+08:00,修改仓库外配置文件(授权登记),/Users/gogo/Library/Application Support/CodeBuddy CN/User/settings.json 增加 mcpServers.dev-project-team-skill,低,<user>(本机),未知,是,/Volumes/BR256G/DevProjectTeamSkill/.backup/CodeBuddyCN_User_settings.json.20260827_211709,20260827211709,已备份并写入MCP登记，使该IDE可调用技能库工具,—,—
OP-AUDIT-048,未知,gogojajadeMac-mini,未知,未知,未知,系统软件安装(VS Code扩展),VS Code 扩展 aminer.codegeex v2.27.6,低,<user>(本机),未知,否(扩展安装无覆盖库外配置),不适用,安装CodeGeeX扩展(用户指令-安装国产MCP工具并接入); 经 code CLI 安装成功,,—,—
AUD-20260827-05,未知,gogojajadeMac-mini,未知,未知,2026-08-27T21:21:35+08:00,修改仓库外配置文件(授权登记),~/Library/Application Support/Code/User/settings.json 增加 mcpServers.dev-project-team-skill,低,<user>(本机),未知,是,.backup/VS_Code_User_settings.json.20260827_212036,20260827212135,已备份并写入MCP登记(CodeGeeX 宿主为 VS Code),—,—
AUD-20260827-06,未知,gogojajadeMac-mini,未知,未知,2026-08-27T21:28:12+08:00,修改仓库外配置文件(授权登记),~/Library/Application Support/CodeFlicker/User/settings.json 创建并增加 mcpServers.dev-project-team-skill,低,<user>(本机),未知,否(新文件无既有内容覆盖),不适用,20260827212812,已创建并写入MCP登记(CodeFlicker 原生支持MCP),—,—
AUD-20260827-07,未知,gogojajadeMac-mini,未知,未知,2026-08-27T21:37:57+08:00,系统软件卸载,"卸载 codex CLI (@openai/codex@0.149.0, npm 全局); 仅移除二进制, ~/.codex 配置保留",低,<user>(本机),未知,"否(卸载移除程序文件, 不备份 ~/.codex 以防 A 级凭据入库)",不适用,20260827213757,已卸载 codex CLI; 用户指令-卸载 codex CLI; 配置目录 ~/.codex 保留待用户自行清理,—,—
AUD-20260827-08,未知,gogojajadeMac-mini,未知,未知,2026-08-27T21:56:34+08:00,修改仓库外配置文件(授权登记),~/Library/Application Support/Windsurf/User/settings.json 增加 mcpServers.dev-project-team-skill,低,<user>(本机),未知,是,.backup/Windsurf_User_settings.json.20260827_215634,20260827215634,已备份并写入MCP登记(Windsurf 原生支持MCP),—,—
AUD-20260827-09,未知,gogojajadeMac-mini,未知,未知,2026-08-27T21:56:34+08:00,修改仓库外配置文件(授权登记),~/.cline/mcp_settings.json 创建并增加 mcpServers.dev-project-team-skill,低,<user>(本机),未知,否(新文件),不适用,20260827215634,已创建并写入MCP登记(Cline 扩展 MCP 配置),—,—
AUD-20260827-10,未知,gogojajadeMac-mini,未知,未知,2026-08-27T21:56:34+08:00,修改仓库外配置文件(授权登记),~/.roo/mcp.json 创建并增加 mcpServers.dev-project-team-skill,低,<user>(本机),未知,否(新文件),不适用,20260827215634,已创建并写入MCP登记(Roo Code 扩展 MCP 配置),—,—
AUD-20260827-11,未知,gogojajadeMac-mini,未知,未知,2026-08-27T23:17:39+08:00,系统软件安装尝试(网络阻断),尝试安装 Zed v1.17.2: brew cask 超时; github.com 直连IP(20.205.243.166)仅传6MB后Recv超时; 镜像ghfast.top/gh-proxy.com/mirror.ghproxy.com均超时不可达,低,<user>(本机),未知,"否(未改动任何文件, 安装未成功)",不适用,20260827231739,安装未落地-网络阻断; 待用户提供 dmg 路径或 GitHub 恢复后重试,—,—
AUD-20260827-12,未知,gogojajadeMac-mini,opencode,ark-coding/deepseek-v4-flash,2026-08-27T23:31:21+08:00,系统软件 MCP 接入(Continue.dev),"备份 ~/.continue/config.yaml -> .backup/ 后追加 mcpServers.dev-project-team-skill(stdio, 指向 .venv/skills_mcp_server.py); 校验通过",低,<user>(本机),AUTH-018,否(仅外部配置+台账),不适用,20260827233121,Continue.dev 已接入; 待 GUI 内绿点确认(无头不可验),—,—
AUD-20260827-13,未知,gogojajadeMac-mini,opencode,ark-coding/deepseek-v4-flash,2026-08-28T06:43:18+08:00,系统软件安装(Zed v1.17.2)+MCP接入,从GitHub Release分块下载Zed-aarch64.dmg(152MB); 复制到~/Applications/Zed.app; 创建~/.local/bin/zed launcher; ~/.config/zed/settings.json写入mcp.dev-project-team-skill(stdio); CMDB登记zed(id=54),低,<user>(本机),AUTH-019,否(仅外部配置+台账),不适用,20260828064318,Zed已安装+接入; GUI绿点需启动后确认,—,—
OP-AUDIT-049,未知,gogojajadeMac-mini,opencode,ark-coding/deepseek-v4-flash,2026-08-28T07:33:18+08:00,修改项目外文件(opencode全局MCP注册),~/.config/opencode/opencode.jsonc 修正 MCP command：由 uv+旧坏 server tools/mcp_server.py → 仓库 .venv python + 新 server tools/mcp_server/skills_mcp_server.py,中,用户明确授权(AUTH-020),AUTH-020,是,.backup/opencode.jsonc.bak.20260828_073318,2026-08-28 07:33:18,成功(MCP command=2行新command; JSONC语法PASS),—,—
OP-AUDIT-050,未知,gogojajadeMac-mini,opencode,ark-coding/deepseek-v4-flash,2026-08-28T07:40:00+08:00,修改项目外文件(opencode全局模型limit 11个模型22项 按官方真实参数恢复),~/.config/opencode/opencode.jsonc 恢复模型context/output到官方真实窗口：opencode免费7模型(200K~1M/128K~256K)+ollama2模型(131072/8192)+siliconflow qwen2.5-7b(131072/8192)+modelscope qwen3-8b(131072/8192)，替换此前被统一写成32768/8192的保守模板。,中,"用户明确指令""按照模型的真实参数进行恢复""(AUTH-020扩展覆盖)",AUTH-020,是,.backup/opencode.jsonc.bak.20260828_073318,2026-08-28 07:40:00,"成功(复验11模型22项100%匹配真值表,JSONC PASS)。原压缩阈值触发78%×32768≈25.6K→现默认模型qwen2.5:7b为78%×131072≈102K，显著减少每轮聊天触发上下文压缩。",—,—
OP-AUDIT-051,未知,gogojajadeMac-mini,opencode,ark-coding/deepseek-v4-flash,2026-08-28T14:36:08+08:00,修改项目外文件(opencode全局 ark-coding模型 limit),~/.config/opencode/opencode.jsonc 为 ark-coding/deepseek-v4-flash（opencode v2 catalog 内置默认模型）补官方 limit context=131072 output=8192 + tool_call=true，解决 GUI 中使用该默认模型时仍显示 32768 的问题,中,用户明确指令方案1(AUTH-020),AUTH-020,是,.backup/opencode.jsonc.bak.20260828_143608_方案1前,2026-08-28 14:36:08,成功(3项复验全通过：JSON语法✅ / ark-coding/deepseek-v4-flash context=131072 命中✅ / debug config 全文 32768 仅 moonshot-v1-32k 一处，符合官方规格✅)。压缩阈值从 78%×32768≈25.6K 提升至 78%×131072≈102K。,—,—
OP-AUDIT-052,42050f6b-cdf9-4dcc-b4da-fa9ca5363995,gogojajadeMac-mini,opencode,ark-coding/deepseek-v4-flash,2026-08-28T15:01:39.298427+08:00,审计schema升级验证,台账/13_安全审计台账.csv,低,<user>(本机),AUTH-021,否,不适用,2026-08-28T15:01:39.298427+08:00,验证tools/audit.py自动埋点；五维溯源字段自动捕获,—,—
OP-AUDIT-053,35571c73-4dfa-4bff-8b50-920f5eb5e73c,gogojajadeMac-mini,opencode,ark-coding/deepseek-v4-flash,2026-08-28T15:02:26.143478+08:00,审计schema升级复核,tools/audit.py,低,<user>(本机),AUTH-021,否,不适用,2026-08-28T15:02:26.143478+08:00,复核主机归一；确认host=gogojajadeMac-mini,—,—
OP-AUDIT-054,9aaa60de-5fe1-4d62-8964-79ae3112a567,gogojajadeMac-mini,opencode,ark-coding/deepseek-v4-flash,2026-08-28T17:04:51.660069+08:00,行为门禁落地验证,AGENTS.md,中,<user>(本机),AUTH-021,否,不适用,2026-08-28T17:04:51.660069+08:00,评审+落地完成；铁律#15落地验证,执行,03b7c31bdc
