授权ID,主机标识,授权对象,对象类型(目录/文件/系统),路径,权限(读/写/改/删),授权人,授权时间,有效期至,状态(有效/过期/已撤销),备注,确认词
AUTH-009,gogojajadeMac-mini,接入DevProjectTeamSkill MCP到Trae CN,文件,/Users/gogo/Library/Application Support/Trae CN/User/settings.json,改,<user>(本机),2026-08-27 20:57:00,未指定(默认本次会话),用户指令-本机安装了Trae，要求将技能库MCP服务登记进Trae；已备份(.backup/Trae_CN_User_settings.json.20260827_205753)后写入mcpServers,,—
AUTH-010,gogojajadeMac-mini,接入DevProjectTeamSkill MCP到QoderCN,文件,/Users/gogo/Library/Application Support/QoderCN/User/settings.json,改,<user>(本机),20260827211709,未指定(默认本次会话),用户指令-沿多工具MCP目标，将技能库MCP登记进本机已装国产IDE,已备份(QoderCN_User_settings.json.20260827_211709)后写入mcpServers,—
AUTH-011,gogojajadeMac-mini,接入DevProjectTeamSkill MCP到Comate,文件,/Users/gogo/Library/Application Support/Comate/User/settings.json,改,<user>(本机),20260827211709,未指定(默认本次会话),用户指令-沿多工具MCP目标，将技能库MCP登记进本机已装国产IDE,已备份(Comate_User_settings.json.20260827_211709)后写入mcpServers,—
AUTH-012,gogojajadeMac-mini,接入DevProjectTeamSkill MCP到CodeBuddyCN,文件,/Users/gogo/Library/Application Support/CodeBuddy CN/User/settings.json,改,<user>(本机),20260827211709,未指定(默认本次会话),用户指令-沿多工具MCP目标，将技能库MCP登记进本机已装国产IDE,已备份(CodeBuddyCN_User_settings.json.20260827_211709)后写入mcpServers,—
AUTH-013,gogojajadeMac-mini,接入DevProjectTeamSkill MCP到VS Code(CodeGeeX宿主),文件,/Users/gogo/Library/Application Support/Code/User/settings.json,改,<user>(本机),未指定(默认本次会话),用户指令-安装 CodeGeeX 并接入MCP; 备份后写入 mcpServers,,,—
AUTH-014,gogojajadeMac-mini,接入DevProjectTeamSkill MCP到CodeFlicker,文件,/Users/gogo/Library/Application Support/CodeFlicker/User/settings.json,改,<user>(本机),未指定(默认本次会话),用户指令-CodeFlicker已安装，要求接入MCP; 创建配置并写入 mcpServers,,,—
AUTH-015,gogojajadeMac-mini,接入DevProjectTeamSkill MCP到Windsurf,文件,/Users/gogo/Library/Application Support/Windsurf/User/settings.json,改,<user>(本机),未指定(默认本次会话),用户指令-新装 MCP 客户端; 备份后写入 mcpServers,,,—
AUTH-016,gogojajadeMac-mini,接入DevProjectTeamSkill MCP到Cline,文件,/Users/gogo/.cline/mcp_settings.json,改,<user>(本机),未指定(默认本次会话),用户指令-新装 MCP 客户端; 创建配置并写入 mcpServers,,,—
AUTH-017,gogojajadeMac-mini,接入DevProjectTeamSkill MCP到Roo Code,文件,/Users/gogo/.roo/mcp.json,改,<user>(本机),未指定(默认本次会话),用户指令-新装 MCP 客户端; 创建配置并写入 mcpServers,,,—
AUTH-018,gogojajadeMac-mini,系统外部文件改动授权,用户明确要求接入 Continue.dev MCP；授权修改 ~/.continue/config.yaml(外部系统文件),低,<user>(本机),本会话(用户显式授权),不适用,20260827233121,备份于 .backup/Continue_config_yaml.20260827233121,,—
AUTH-019,gogojajadeMac-mini,系统软件安装+MCP接入,"用户要求安装Zed并接入本技能MCP; 授权创建~/.config/zed/settings.json(Zed全局配置), ~/Applications/Zed.app, ~/.local/bin/zed CLI launcher",低,<user>(本机),本会话,不适用,20260828064318,新建文件; 无覆盖,,—
AUTH-020,gogojajadeMac-mini,修 opencode 全局 MCP 注册：旧坏 server→新 server,文件,~/.config/opencode/opencode.jsonc,改（仅 dev-project-team-skill MCP command 字段）,gogo(本机),2026-08-28,未指定(默认本次会话),,"用户指令""继续""——确认修正全局 MCP 注册（此前 OP-AUDIT-025 登记的配置已过期）；改前必须备份",—
AUTH-021,gogojajadeMac-mini,审计/授权台账主机名明文保留,系统/台账,台账/13_安全审计台账.csv;台账/14_授权登记.csv,读/写,用户(本机),2026-08-28,长期,有效,"用户明确授权-为跨机异常定位需在审计台账明文保留主机名(铁律#8 B级脱敏例外, 范围限定本仓库)",—
AUTH-PROD-2026-08-29-v21110,gogojajadeMac-mini-6.local,v21.11.0生产发布多工具全局同步,目录,~/.config/opencode/skills + ~/.trae-cn/skills + ~/.workbuddy/skills + ~/.copilot/skills + ~/dev-project-team-skill/v21.11.0+current,写/重建/精确同步,gogo(本机),2026-08-29,2026-08-29(本次会话),有效,publish_production v21.11.0 生产发布，用户经执行合同闸门确认词「执行」，多工具全局同步授权,执行
AUTH-014,gogojajadeMac-mini,dev-git-hub 独立 git 基建项目,目录,/Volumes/BR256G/dev-git-hub,创建/读写,gogo(本机),2026-08-30,2027-12-31,有效,用户采纳方案A：独立项目承载 git 基建（LAN中枢+Windows副本+WAN灾备），与本项目解耦；长期有效,采纳方案A
AUTH-015,gogojajadeMac-mini,dev-task-scheduler 定时任务管理工具,目录,/Volumes/BR256G/dev-task-scheduler,创建/读写,gogo(本机),2026-08-31,2027-12-31,有效,用户采纳方案A：独立项目承载定时任务管理（基于APScheduler），与本项目解耦；孵化器INC-2026-08-31-001立项通过,采纳方案A
AUTH-016,gogojajadeMac-mini,dev-model-router 多模型分层编排工具,目录,/Volumes/BR256G/dev-model-router,创建/读写,gogo(本机),2026-08-31,2027-12-31,有效,用户采纳方案A：独立项目承载多模型分层编排（Router+DAG+Executor），与本项目解耦；孵化器INC-2026-08-31-002立项通过,采纳方案A
